name,score,measurement_score,duration_score,toa_count_score,spin_stability_score,sky_distribution_score,n_toas,duration_days,median_error_us,ra_deg,dec_deg,x,y,z
J0613-0200,0.8865644000088784,0.8663291139240507,0.9397861854163527,0.6708203134681547,0.9777961676114917,1.0,13201,4474.012949478718,1.108,93.43323296269777,-2.013111951435206,-0.059848406846008825,0.997589182752463,-0.035128203103311995
J1713+0747,0.836133637490096,0.9591139240506329,0.9565434350830035,1.0,0.9920083585654501,0.08071379630052272,37698,4538.602821906039,0.375,258.45639113583076,7.793734534415673,-0.19826519985357707,-0.9707222000130407,0.135607230370889
J1909-3744,0.8311238629124835,0.950126582278481,0.9818925492265825,0.8399441742398198,0.9641119767510663,0.20469065331526645,22633,4636.309550709979,0.446,287.4476370579706,-37.73739321045723,0.23711605410778272,-0.7544395193084747,-0.6120432898006094
J1744-1134,0.7752845152277162,0.8858227848101266,1.0,0.6750453779624297,0.9890087160360114,0.10059241497470933,13380,4706.103697046929,0.954,266.1225396240169,-11.581875237428303,-0.06624592487572452,-0.977396374761092,-0.20076803540712101
J1012+5307,0.7713233572125061,0.5968354430379748,0.9977026429755498,0.7900828635924957,0.987114498677416,0.6385427466580775,19307,4697.248664145882,3.237,153.13933876126512,53.11729992983624,-0.5354242300618663,0.27117414056939254,0.7998659133561755
